station_complex_name,station_geom,ridership_2013,ridership_2018,routes,ridership_perc_change
4 Av,POINT (-73.989779 40.670272),13156,12560,F G R,-4.5
40 St,POINT (-73.924016 40.743781),11100,9954,7,-10.3
42 St - Bryant Pk / 5 Av,POINT (-73.98326599999999 40.7540215),53222,55872,B D F M 7,5.0
45 St,POINT (-74.010006 40.648939),6978,7205,R,3.3
46 St,POINT (-73.918435 40.743132),14656,12828,7,-12.5
46 St,POINT (-73.913333 40.756312),9529,8752,M R,-8.2
47-50 Sts - Rockefeller Ctr,POINT (-73.981329 40.758663),61099,61027,B D F M,-0.1
49 St,POINT (-73.984139 40.759901),25356,25911,N R W,2.2
5 Av/53 St,POINT (-73.975224 40.760167),25939,27612,E M,6.4
5 Av/59 St,POINT (-73.973347 40.764811),18394,16638,N W R,-9.5
50 St,POINT (-73.983849 40.761728),26192,26268,1,0.3
50 St,POINT (-73.994791 40.63626),3308,3195,D,-3.4
50 St,POINT (-73.985984 40.762456),19406,19757,C E,1.8
52 St,POINT (-73.912549 40.744149),6830,6001,7,-12.1
53 St,POINT (-74.014034 40.645069),7479,7565,R,1.1
55 St,POINT (-73.995476 40.631435),1964,2185,D,11.3
57 St,POINT (-73.97745 40.763972),15363,7638,F,-50.3
57 St - 7 Av,POINT (-73.980658 40.764664),28159,37870,N Q R W,34.5
59 St,POINT (-74.017881 40.641362),12506,12301,N R,-1.6
59 St - Columbus Circle,POINT (-73.9818325 40.7682715),72236,73003,A B C D 1,1.1
63 Dr - Rego Park,POINT (-73.861604 40.729846),16334,15574,M R,-4.7
65 St,POINT (-73.898453 40.749669),3532,3601,M R,2.0
66 St - Lincoln Center,POINT (-73.982209 40.77344),23651,22890,1,-3.2
67 Av,POINT (-73.852719 40.726523),9475,8774,M R,-7.4
68 St - Hunter College,POINT (-73.96387 40.768141),36562,22757,6,-37.8
69 St,POINT (-73.896403 40.746325),5085,4679,7,-8.0
7 Av,POINT (-73.981637 40.762862),15800,17947,B D E,13.6
7 Av,POINT (-73.972367 40.67705),9389,10210,B Q,8.7
7 Av,POINT (-73.980305 40.666271),12268,11636,F G,-5.2
71 St,POINT (-73.998864 40.619589),4538,5607,D,23.6
72 St,POINT (-73.97641 40.775594),9067,4472,B C,-50.7
72 St,POINT (-73.98197 40.778453),40853,39477,1 2 3,-3.4
74 St - Broadway / Jackson Hts - Roosevelt Av,POINT (-73.891366 40.746746),50841,51766,7 E F M R,1.8
75 Av,POINT (-73.837324 40.718331),3763,3455,E F,-8.2
75 St,POINT (-73.867139 40.691324),3759,3464,J Z,-7.8
77 St,POINT (-73.959874 40.77362),37182,25369,6,-31.8
77 St,POINT (-74.02551 40.629742),5353,5612,R,4.8
79 St,POINT (-73.979917 40.783934),16576,15175,1,-8.5
79 St,POINT (-74.00061 40.613501),6293,6177,D,-1.8
8 Av,POINT (-74.011719 40.635064),10873,11474,N,5.5
8 St - NYU,POINT (-73.992629 40.730328),16597,17192,R W,3.6
80 St,POINT (-73.858992 40.679371),4291,4316,A,0.6
81 St - Museum of Natural History,POINT (-73.972143 40.781433),13663,15383,B C,12.6
82 St - Jackson Hts,POINT (-73.883697 40.747659),15662,14626,7,-6.6
85 St - Forest Pkwy,POINT (-73.86001 40.692435),3792,3699,J,-2.5
86 St,POINT (-73.976218 40.788644),19766,19325,1,-2.2
86 St,POINT (-73.97823 40.592721),2515,1928,N,-23.3
86 St,POINT (-74.028398 40.622687),11648,11338,R,-2.7
86 St,POINT (-73.968916 40.785868),11236,6007,B C,-46.5
86 St,POINT (-73.955589 40.779492),64741,43169,4 5 6,-33.3
88 St,POINT (-73.85147 40.679843),2719,2835,A,4.3
9 Av,POINT (-73.994324 40.646292),5857,5344,D,-8.8
90 St - Elmhurst Av,POINT (-73.876613 40.748408),16743,16253,7,-2.9
96 St,POINT (-73.95107 40.785672),26232,17447,6,-33.5
