station_complex_name,station_geom,ridership_2013,ridership_2018,routes,ridership_perc_change
Seneca Av,POINT (-73.90774 40.702762),2428,1818,M,-25.1
Sheepshead Bay,POINT (-73.954155 40.586896),14010,13946,B Q,-0.5
Shepherd Av,POINT (-73.88075 40.67413),3149,3182,C,1.0
Simpson St,POINT (-73.893064 40.824073),9672,8477,2 5,-12.4
Smith - 9 Sts,POINT (-73.995959 40.67358),2854,4689,F G,64.3
South Ferry / Whitehall St,POINT (-74.013329 40.7025775),20405,33797,1 R W,65.6
Spring St,POINT (-73.997141 40.722301),12257,10822,6,-11.7
Spring St,POINT (-74.003739 40.726227),13136,13054,C E,-0.6
St Lawrence Av,POINT (-73.867618 40.831509),3995,4040,6,1.1
Steinway St,POINT (-73.92074 40.756879),14769,15590,M R,5.6
Sterling St,POINT (-73.95085 40.662742),5915,5684,2 5,-3.9
Sutphin Blvd,POINT (-73.810708 40.70546),4932,4291,F,-13.0
Sutphin Blvd - Archer Av - JFK Airport,POINT (-73.807969 40.700486),23012,23388,E J Z,1.6
Sutter Av,POINT (-73.901975 40.669367),4555,4029,L,-11.5
Sutter Av - Rutland Rd,POINT (-73.92261 40.664717),7831,6657,3,-15.0
Times Sq - 42 St / 42 St,POINT (-73.98704224999999 40.7553555),197696,204017,N Q R W S 1 2 3 7 A C E,3.2
Tremont Av,POINT (-73.905227 40.85041),9157,10398,B D,13.6
Union St,POINT (-73.98311 40.677316),6528,6835,R,4.7
Utica Av,POINT (-73.930729 40.679364),14673,16121,A C,9.9
Van Cortlandt Park - 242 St,POINT (-73.898583 40.889248),6943,7742,1,11.5
Van Siclen Av,POINT (-73.889395 40.665449),3431,2904,3,-15.4
Van Siclen Av,POINT (-73.890358 40.67271),2974,3021,C,1.6
Van Siclen Av,POINT (-73.891688 40.678024),2883,2678,J Z,-7.1
Vernon Blvd - Jackson Av,POINT (-73.953581 40.742626),12610,15093,7,19.7
W 4 St - Washington Sq,POINT (-74.000495 40.732338),40798,40666,A B C D E F M,-0.3
W 8 St - NY Aquarium,POINT (-73.975939 40.576127),2069,2469,F Q,19.3
Wakefield - 241 St,POINT (-73.85062 40.903125),4825,4763,2,-1.3
Wall St,POINT (-74.0091 40.706821),26706,23968,2 3,-10.3
Wall St,POINT (-74.011862 40.707557),25078,19745,4 5,-21.3
West Farms Sq - E Tremont Av,POINT (-73.880049 40.840295),7979,6866,2 5,-13.9
Westchester Sq - E Tremont Av,POINT (-73.842952 40.839892),6820,6097,6,-10.6
Whitlock Av,POINT (-73.886283 40.826525),1685,1894,6,12.4
Wilson Av,POINT (-73.904046 40.688764),3865,4468,L,15.6
Winthrop St,POINT (-73.9502 40.656652),7639,7262,2 5,-4.9
Woodhaven Blvd,POINT (-73.851576 40.693879),4576,4771,J Z,4.3
Woodhaven Blvd,POINT (-73.869229 40.733106),22276,20704,M R,-7.1
Woodlawn,POINT (-73.878751 40.886037),7776,6937,4,-10.8
Woodside - 61 St,POINT (-73.902984 40.74563),16559,16501,7,-0.4
York St,POINT (-73.986751 40.701397),8629,11032,F,27.8
Zerega Av,POINT (-73.847036 40.836488),3253,2629,6,-19.2
