station,population_2013,population_2018,employee_count_2013,employee_count_2018,business_count_2013,business_count_2018,borough,route_count,ridership_2013,ridership_2018,station_geom,rider_change,pop_change,emp_change,bus_change
215 St,183752.0,192917.0,23011.0,25427.0,2511.0,2636.0,Manhattan,1,2078,1787,POINT (-73.915279 40.869444),-291,9165.0,2416.0,125.0
219 St,256056.0,265513.0,16883.0,48868.0,2667.0,2859.0,Bronx,2,3483,3335,POINT (-73.862633 40.883895),-148,9457.0,31985.0,192.0
225 St,256056.0,265513.0,16883.0,48868.0,2667.0,2859.0,Bronx,2,4479,3961,POINT (-73.860341 40.888022),-518,9457.0,31985.0,192.0
23 St,213309.0,212865.0,501835.0,526255.0,24788.0,24164.0,Manhattan,8,123351,116261,POINT (-73.9924924 40.74280639999999),-7090,-444.0,24420.0,-624.0
231 St,142242.0,150007.0,18428.0,21014.0,1911.0,1961.0,Bronx,1,8951,10287,POINT (-73.904834 40.878856),1336,7765.0,2586.0,50.0
233 St,184213.0,191643.0,9041.0,40815.0,1984.0,2140.0,Bronx,2,5473,4864,POINT (-73.857473 40.893193),-609,7430.0,31774.0,156.0
238 St,92450.0,93256.0,19356.0,21591.0,1510.0,1597.0,Bronx,1,3598,3225,POINT (-73.90087 40.884667),-373,806.0,2235.0,87.0
25 Av,157762.0,174735.0,28146.0,36168.0,3863.0,4322.0,Brooklyn,1,4607,5083,POINT (-73.986829 40.597704),476,16973.0,8022.0,459.0
25 St,97715.0,97758.0,37299.0,43097.0,3443.0,3668.0,Brooklyn,1,3821,3755,POINT (-73.998091 40.660397),-66,43.0,5798.0,225.0
28 St,220330.0,222700.0,634017.0,665467.0,31606.0,30588.0,Manhattan,4,50452,41118,POINT (-73.98877333333333 40.74525966666667),-9334,2370.0,31450.0,-1018.0
3 Av,229102.0,220220.0,286169.0,298216.0,15468.0,15002.0,Manhattan,1,6803,6749,POINT (-73.986122 40.732849),-54,-8882.0,12047.0,-466.0
3 Av - 138 St,174599.0,185166.0,49233.0,57365.0,2998.0,3170.0,Bronx,1,7667,7801,POINT (-73.926138 40.810476),134,10567.0,8132.0,172.0
3 Av - 149 St,211457.0,222502.0,41806.0,50246.0,2783.0,2994.0,Bronx,2,24001,22357,POINT (-73.917757 40.816109),-1644,11045.0,8440.0,211.0
30 Av,145333.0,142685.0,34002.0,37398.0,3980.0,4235.0,Queens,2,14802,8286,POINT (-73.921479 40.766779),-6516,-2648.0,3396.0,255.0
33 St,178248.0,189361.0,687682.0,714691.0,32648.0,31700.0,Manhattan,1,32783,32608,POINT (-73.982076 40.746081),-175,11113.0,27009.0,-948.0
33 St,178248.0,189361.0,687682.0,714691.0,32648.0,31700.0,Queens,1,14246,11029,POINT (-73.930997 40.744587),-3217,11113.0,27009.0,-948.0
34 St - Penn Station,186154.0,195446.0,682055.0,754615.0,33648.0,32474.0,Manhattan,6,173759,165526,POINT (-73.992224 40.75133),-8233,9292.0,72560.0,-1174.0
36 Av,100151.0,104546.0,82878.0,87199.0,5209.0,5404.0,Queens,2,7688,5073,POINT (-73.929575 40.756804),-2615,4395.0,4321.0,195.0
36 St,326684.0,324066.0,149406.0,163676.0,11727.0,12478.0,Brooklyn,3,12059,13493,POINT (-74.003549 40.655144),1434,-2618.0,14270.0,751.0
36 St,326684.0,324066.0,149406.0,163676.0,11727.0,12478.0,Queens,2,4540,5177,POINT (-73.928781 40.752039),637,-2618.0,14270.0,751.0
39 Av,88135.0,94525.0,82461.0,86291.0,4628.0,4801.0,Queens,2,3262,2356,POINT (-73.932755 40.752882),-906,6390.0,3830.0,173.0
40 St,137582.0,142583.0,87338.0,93314.0,5154.0,5342.0,Queens,1,11100,9954,POINT (-73.924016 40.743781),-1146,5001.0,5976.0,188.0
45 St,200804.0,193401.0,59832.0,69488.0,5918.0,6475.0,Brooklyn,1,6978,7205,POINT (-74.010006 40.648939),227,-7403.0,9656.0,557.0
46 St,175327.0,178723.0,94451.0,101211.0,6335.0,6544.0,Queens,3,24185,21580,POINT (-73.915884 40.749722000000006),-2605,3396.0,6760.0,209.0
47-50 Sts - Rockefeller Ctr,165492.0,178801.0,875877.0,964164.0,38029.0,36526.0,Manhattan,4,61099,61027,POINT (-73.981329 40.758663),-72,13309.0,88287.0,-1503.0
49 St,114296.0,127744.0,730801.0,806102.0,30587.0,29498.0,Manhattan,3,25356,25911,POINT (-73.984139 40.759901),555,13448.0,75301.0,-1089.0
5 Av/53 St,201387.0,208601.0,703345.0,779710.0,28614.0,27993.0,Manhattan,2,25939,27612,POINT (-73.975224 40.760167),1673,7214.0,76365.0,-621.0
5 Av/59 St,202986.0,211587.0,424027.0,458620.0,18847.0,18110.0,Manhattan,3,18394,16638,POINT (-73.973347 40.764811),-1756,8601.0,34593.0,-737.0
50 St,450429.0,450366.0,842608.0,933024.0,39795.0,39619.0,Brooklyn,1,3308,3195,POINT (-73.994791 40.63626),-113,-63.0,90416.0,-176.0
50 St,450429.0,450366.0,842608.0,933024.0,39795.0,39619.0,Manhattan,3,45598,46025,POINT (-73.9849165 40.762091999999996),427,-63.0,90416.0,-176.0
52 St,137582.0,142583.0,87338.0,93314.0,5154.0,5342.0,Queens,1,6830,6001,POINT (-73.912549 40.744149),-829,5001.0,5976.0,188.0
53 St,131913.0,123245.0,37320.0,45609.0,3769.0,4166.0,Brooklyn,1,7479,7565,POINT (-74.014034 40.645069),86,-8668.0,8289.0,397.0
55 St,177934.0,167014.0,44297.0,54614.0,4885.0,5524.0,Brooklyn,1,1964,2185,POINT (-73.995476 40.631435),221,-10920.0,10317.0,639.0
57 St,201385.0,208601.0,676720.0,750600.0,27619.0,27063.0,Manhattan,1,15363,7638,POINT (-73.97745 40.763972),-7725,7216.0,73880.0,-556.0
57 St - 7 Av,201385.0,208601.0,669133.0,740941.0,27475.0,26925.0,Manhattan,4,28159,37870,POINT (-73.980658 40.764664),9711,7216.0,71808.0,-550.0
59 St,131913.0,123245.0,37320.0,45609.0,3769.0,4166.0,Brooklyn,2,12506,12301,POINT (-74.017881 40.641362),-205,-8668.0,8289.0,397.0
63 Dr - Rego Park,319175.0,322533.0,63539.0,79187.0,6260.0,6609.0,Queens,2,16334,15574,POINT (-73.861604 40.729846),-760,3358.0,15648.0,349.0
65 St,286039.0,274746.0,46720.0,50074.0,5328.0,5663.0,Queens,2,3532,3601,POINT (-73.898453 40.749669),69,-11293.0,3354.0,335.0
66 St - Lincoln Center,104827.0,111223.0,183872.0,195552.0,7328.0,7166.0,Manhattan,1,23651,22890,POINT (-73.982209 40.77344),-761,6396.0,11680.0,-162.0
67 Av,112054.0,116141.0,35775.0,48265.0,3243.0,3346.0,Queens,2,9475,8774,POINT (-73.852719 40.726523),-701,4087.0,12490.0,103.0
68 St - Hunter College,227835.0,233143.0,403993.0,436204.0,19097.0,18399.0,Manhattan,1,36562,22757,POINT (-73.96387 40.768141),-13805,5308.0,32211.0,-698.0
69 St,248795.0,242232.0,41859.0,45648.0,5022.0,5304.0,Queens,1,5085,4679,POINT (-73.896403 40.746325),-406,-6563.0,3789.0,282.0
7 Av,360958.0,374704.0,716687.0,793969.0,31865.0,31818.0,Brooklyn,4,21657,21846,POINT (-73.976336 40.6716605),189,13746.0,77282.0,-47.0
7 Av,360958.0,374704.0,716687.0,793969.0,31865.0,31818.0,Manhattan,3,15800,17947,POINT (-73.981637 40.762862),2147,13746.0,77282.0,-47.0
71 St,305019.0,304954.0,61739.0,75974.0,7583.0,8522.0,Brooklyn,1,4538,5607,POINT (-73.998864 40.619589),1069,-65.0,14235.0,939.0
72 St,125597.0,126521.0,64889.0,65272.0,4424.0,4366.0,Manhattan,5,49920,43949,POINT (-73.97919 40.7770235),-5971,924.0,383.0,-58.0
75 Av,125730.0,131377.0,37415.0,48292.0,3299.0,3442.0,Queens,2,3763,3455,POINT (-73.837324 40.718331),-308,5647.0,10877.0,143.0
75 St,235074.0,246379.0,26005.0,28029.0,3267.0,3565.0,Queens,2,3759,3464,POINT (-73.867139 40.691324),-295,11305.0,2024.0,298.0
77 St,543044.0,532811.0,237231.0,247011.0,18716.0,18642.0,Brooklyn,1,5353,5612,POINT (-74.02551 40.629742),259,-10233.0,9780.0,-74.0
77 St,543044.0,532811.0,237231.0,247011.0,18716.0,18642.0,Manhattan,1,37182,25369,POINT (-73.959874 40.77362),-11813,-10233.0,9780.0,-74.0
79 St,430616.0,431475.0,126628.0,141246.0,12007.0,12888.0,Brooklyn,1,6293,6177,POINT (-74.00061 40.613501),-116,859.0,14618.0,881.0
79 St,430616.0,431475.0,126628.0,141246.0,12007.0,12888.0,Manhattan,1,16576,15175,POINT (-73.979917 40.783934),-1401,859.0,14618.0,881.0
8 Av,316612.0,298482.0,75882.0,85742.0,8099.0,8895.0,Brooklyn,1,10873,11474,POINT (-74.011719 40.635064),601,-18130.0,9860.0,796.0
