station,population_2013,population_2018,employee_count_2013,employee_count_2018,business_count_2013,business_count_2018,borough,route_count,ridership_2013,ridership_2018,station_geom,rider_change,pop_change,emp_change,bus_change
Crown Hts - Utica Av,294750.0,295092.0,38551.0,41251.0,2807.0,3176.0,Brooklyn,2,27780,25336,POINT (-73.932942 40.668897),-2444,342.0,2700.0,369.0
Cypress Av,110153.0,116229.0,28820.0,35796.0,1967.0,2085.0,Bronx,1,3842,3651,POINT (-73.914042 40.805368),-191,6076.0,6976.0,118.0
Cypress Hills,235074.0,246379.0,26005.0,28029.0,3267.0,3565.0,Brooklyn,1,1431,1457,POINT (-73.87255 40.689941),26,11305.0,2024.0,298.0
DeKalb Av,352902.0,377180.0,72352.0,87547.0,6550.0,7630.0,Brooklyn,4,28935,34707,POINT (-73.9501245 40.697223),5772,24278.0,15195.0,1080.0
Ditmas Av,336911.0,330597.0,80249.0,103911.0,8667.0,9656.0,Brooklyn,1,4676,3904,POINT (-73.978172 40.636119),-772,-6314.0,23662.0,989.0
Dyckman St,86335.0,87481.0,8534.0,8749.0,1177.0,1246.0,Manhattan,2,13121,13479,POINT (-73.92640349999999 40.863011),358,1146.0,215.0,69.0
E 105 St,287107.0,282074.0,36483.0,42996.0,2769.0,2988.0,Brooklyn,1,3818,3798,POINT (-73.899485 40.650573),-20,-5033.0,6513.0,219.0
E 143 St - St Mary's St,89184.0,92613.0,32341.0,39642.0,1996.0,2090.0,Bronx,1,911,1019,POINT (-73.907657 40.808719),108,3429.0,7301.0,94.0
E 149 St,224884.0,235182.0,43792.0,54308.0,3197.0,3438.0,Bronx,1,4580,4842,POINT (-73.904098 40.812118),262,10298.0,10516.0,241.0
E 180 St,202351.0,205057.0,23707.0,27422.0,2170.0,2344.0,Bronx,2,7003,7175,POINT (-73.873488 40.841894),172,2706.0,3715.0,174.0
East Broadway,154483.0,149913.0,177847.0,193377.0,13284.0,12766.0,Manhattan,1,13276,13868,POINT (-73.990173 40.713715),592,-4570.0,15530.0,-518.0
Eastchester - Dyre Av,113840.0,115687.0,16544.0,15621.0,978.0,1092.0,Bronx,1,4948,4506,POINT (-73.830834 40.8883),-442,1847.0,-923.0,114.0
Eastern Pkwy - Brooklyn Museum,272538.0,281293.0,55819.0,64739.0,5779.0,6631.0,Brooklyn,2,4938,4637,POINT (-73.964375 40.671987),-301,8755.0,8920.0,852.0
Elder Av,244138.0,248388.0,33350.0,39582.0,2688.0,2906.0,Bronx,1,6377,6323,POINT (-73.879159 40.828584),-54,4250.0,6232.0,218.0
Elmhurst Av,248795.0,242232.0,41859.0,45648.0,5022.0,5304.0,Queens,2,13597,12463,POINT (-73.882017 40.742454),-1134,-6563.0,3789.0,282.0
Euclid Av,93107.0,98660.0,9381.0,9388.0,868.0,939.0,Brooklyn,2,10418,10191,POINT (-73.872106 40.675377),-227,5553.0,7.0,71.0
Far Rockaway - Mott Av,61091.0,67094.0,8874.0,11057.0,510.0,528.0,Queens,1,2651,4435,POINT (-73.755405 40.603995),1784,6003.0,2183.0,18.0
Flatbush Av - Brooklyn College,327418.0,331843.0,59967.0,67935.0,5207.0,5622.0,Brooklyn,2,21941,19763,POINT (-73.947642 40.632836),-2178,4425.0,7968.0,415.0
Flushing - Main St,247441.0,248478.0,53724.0,68266.0,6607.0,7758.0,Queens,1,60190,55669,POINT (-73.83003 40.7596),-4521,1037.0,14542.0,1151.0
Flushing Av,299119.0,320872.0,67854.0,80835.0,5834.0,6742.0,Brooklyn,3,11538,11285,POINT (-73.94568 40.7003185),-253,21753.0,12981.0,908.0
Fordham Rd,296756.0,316767.0,40398.0,46291.0,3376.0,3575.0,Bronx,3,24436,21756,POINT (-73.89939150000001 40.8620495),-2680,20011.0,5893.0,199.0
Forest Av,154857.0,156027.0,25323.0,33288.0,2868.0,3249.0,Queens,1,4103,3124,POINT (-73.903077 40.704423),-979,1170.0,7965.0,381.0
Forest Hills - 71 Av,69757.0,73488.0,22187.0,31865.0,2124.0,2163.0,Queens,4,27728,26613,POINT (-73.844521 40.721691),-1115,3731.0,9678.0,39.0
Fort Hamilton Pkwy,372533.0,357945.0,105766.0,126459.0,10382.0,11523.0,Brooklyn,4,16549,12975,POINT (-73.99181033333333 40.641027333333334),-3574,-14588.0,20693.0,1141.0
Franklin St,115631.0,118317.0,232656.0,261744.0,14474.0,13892.0,Manhattan,1,5825,5943,POINT (-74.006886 40.719318),118,2686.0,29088.0,-582.0
Freeman St,330964.0,345424.0,32028.0,36991.0,3096.0,3447.0,Bronx,2,4762,4451,POINT (-73.891865 40.829993),-311,14460.0,4963.0,351.0
Fresh Pond Rd,135201.0,144568.0,18715.0,20940.0,2479.0,2765.0,Queens,1,5333,4716,POINT (-73.895877 40.706186),-617,9367.0,2225.0,286.0
Fulton St,188352.0,204834.0,94516.0,102870.0,6375.0,7269.0,Brooklyn,1,4266,5462,POINT (-73.975375 40.687119),1196,16482.0,8354.0,894.0
Gates Av,242411.0,252626.0,21090.0,27830.0,2066.0,2426.0,Brooklyn,2,5999,7255,POINT (-73.92227 40.68963),1256,10215.0,6740.0,360.0
Graham Av,264460.0,276775.0,75108.0,90560.0,6602.0,7542.0,Brooklyn,1,10136,9959,POINT (-73.944053 40.714565),-177,12315.0,15452.0,940.0
Grand Army Plaza,159573.0,166103.0,47554.0,53028.0,4390.0,4893.0,Brooklyn,2,8066,7188,POINT (-73.971046 40.675235),-878,6530.0,5474.0,503.0
Grand Av - Newtown,134981.0,131818.0,21462.0,22785.0,2248.0,2445.0,Queens,2,18298,18489,POINT (-73.877223 40.737015),191,-3163.0,1323.0,197.0
Grand St,545588.0,546318.0,391691.0,432072.0,26818.0,27341.0,Brooklyn,1,7444,6964,POINT (-73.94067 40.711926),-480,730.0,40381.0,523.0
Grand St,545588.0,546318.0,391691.0,432072.0,26818.0,27341.0,Manhattan,2,23770,23422,POINT (-73.993753 40.718267),-348,730.0,40381.0,523.0
Grant Av,220743.0,227933.0,26371.0,27345.0,2661.0,2874.0,Brooklyn,1,6270,5896,POINT (-73.86505 40.677044),-374,7190.0,974.0,213.0
Greenpoint Av,34186.0,36492.0,15716.0,17397.0,1584.0,1854.0,Brooklyn,1,8461,9509,POINT (-73.954449 40.731352),1048,2306.0,1681.0,270.0
Gun Hill Rd,170597.0,177602.0,7842.0,37677.0,1758.0,1855.0,Bronx,3,13341,12292,POINT (-73.85632000000001 40.873688),-1049,7005.0,29835.0,97.0
Halsey St,571080.0,584460.0,63442.0,82778.0,6532.0,7538.0,Brooklyn,1,5805,6579,POINT (-73.916559 40.68637),774,13380.0,19336.0,1006.0
Halsey St,571080.0,584460.0,63442.0,82778.0,6532.0,7538.0,Queens,1,7308,8386,POINT (-73.904084 40.695602),1078,13380.0,19336.0,1006.0
Harlem - 148 St,371602.0,386748.0,41379.0,64751.0,4806.0,5042.0,Manhattan,1,3790,4074,POINT (-73.93647 40.82388),284,15146.0,23372.0,236.0
Hewes St,217798.0,237037.0,63102.0,73620.0,5219.0,5948.0,Brooklyn,2,2859,2782,POINT (-73.953431 40.70687),-77,19239.0,10518.0,729.0
High St,54668.0,62823.0,54766.0,56191.0,2936.0,3236.0,Brooklyn,2,7543,10281,POINT (-73.990531 40.699337),2738,8155.0,1425.0,300.0
Houston St,192284.0,188012.0,320502.0,340293.0,18985.0,18258.0,Manhattan,1,15736,15698,POINT (-74.005367 40.728251),-38,-4272.0,19791.0,-727.0
Howard Beach - JFK Airport,107687.0,109833.0,47238.0,49064.0,1614.0,1717.0,Queens,1,4972,3376,POINT (-73.830301 40.660476),-1596,2146.0,1826.0,103.0
Hoyt - Schermerhorn Sts,170594.0,188139.0,96974.0,106002.0,6507.0,7296.0,Brooklyn,3,9604,10540,POINT (-73.985001 40.688484),936,17545.0,9028.0,789.0
Hunters Point Av,63247.0,72516.0,80706.0,87066.0,4570.0,4992.0,Queens,1,6400,7205,POINT (-73.948916 40.742216),805,9269.0,6360.0,422.0
Hunts Point Av,226630.0,231166.0,38528.0,46871.0,2847.0,3078.0,Bronx,1,10144,10460,POINT (-73.890549 40.820948),316,4536.0,8343.0,231.0
Intervale Av,186795.0,196979.0,36304.0,42940.0,2575.0,2806.0,Bronx,2,3420,3130,POINT (-73.896736 40.822181),-290,10184.0,6636.0,231.0
Inwood - 207 St,158157.0,166128.0,16368.0,17480.0,2005.0,2100.0,Manhattan,1,8866,8793,POINT (-73.919899 40.868072),-73,7971.0,1112.0,95.0
Jackson Av,259434.0,270853.0,46158.0,56024.0,3354.0,3621.0,Bronx,2,5432,5288,POINT (-73.907807 40.81649),-144,11419.0,9866.0,267.0
Jamaica - 179 St,126133.0,129942.0,21945.0,23083.0,1986.0,2128.0,Queens,1,23280,21452,POINT (-73.783817 40.712646),-1828,3809.0,1138.0,142.0
Jamaica - Van Wyck,158708.0,166803.0,25323.0,28116.0,2790.0,3111.0,Queens,1,4992,4717,POINT (-73.816859 40.702566),-275,8095.0,2793.0,321.0
Jamaica Center - Parsons/Archer,148050.0,157838.0,25716.0,28167.0,2513.0,2695.0,Queens,3,41686,36368,POINT (-73.801109 40.702147),-5318,9788.0,2451.0,182.0
Jefferson St,317703.0,328211.0,46842.0,61526.0,4680.0,5496.0,Brooklyn,1,6612,7674,POINT (-73.922913 40.706607),1062,10508.0,14684.0,816.0
Junction Blvd,270441.0,268236.0,36619.0,41313.0,4776.0,5135.0,Queens,1,20818,21100,POINT (-73.869527 40.749145),282,-2205.0,4694.0,359.0
Junius St,274228.0,268830.0,33119.0,38669.0,2694.0,2864.0,Brooklyn,1,2206,2080,POINT (-73.902447 40.663515),-126,-5398.0,5550.0,170.0
Kew Gardens - Union Tpke,220294.0,232497.0,49229.0,62263.0,4828.0,5135.0,Queens,2,28289,25536,POINT (-73.831008 40.714441),-2753,12203.0,13034.0,307.0
Kings Hwy,320818.0,331457.0,63851.0,85465.0,8283.0,9122.0,Brooklyn,4,27608,27464,POINT (-73.97014933333332 40.60527),-144,10639.0,21614.0,839.0
Kingsbridge Rd,217101.0,233967.0,34623.0,39797.0,2969.0,3053.0,Bronx,3,17853,16914,POINT (-73.8953415 40.867369),-939,16866.0,5174.0,84.0
Kingston - Throop Avs,265762.0,283257.0,19626.0,27926.0,2554.0,3142.0,Brooklyn,1,5678,6585,POINT (-73.940858 40.679921),907,17495.0,8300.0,588.0
Kingston Av,254596.0,256936.0,33002.0,36428.0,2997.0,3566.0,Brooklyn,1,4949,4623,POINT (-73.942161 40.669399),-326,2340.0,3426.0,569.0
Knickerbocker Av,317703.0,328211.0,46842.0,61526.0,4680.0,5496.0,Brooklyn,1,3429,2446,POINT (-73.919711 40.698664),-983,10508.0,14684.0,816.0
Kosciuszko St,218324.0,221494.0,32517.0,45311.0,2809.0,3436.0,Brooklyn,1,4751,6144,POINT (-73.928814 40.693342),1393,3170.0,12794.0,627.0
Lafayette Av,188352.0,204834.0,94516.0,102870.0,6375.0,7269.0,Brooklyn,1,4825,4889,POINT (-73.973946 40.686113),64,16482.0,8354.0,894.0
Lexington Av/63 St,202986.0,211587.0,403437.0,434326.0,18366.0,17614.0,Manhattan,2,15404,21394,POINT (-73.966113 40.764629),5990,8601.0,30889.0,-752.0
Liberty Av,245610.0,245318.0,26091.0,30979.0,2182.0,2417.0,Brooklyn,1,2658,2754,POINT (-73.896548 40.674542),96,-292.0,4888.0,235.0
Livonia Av,274228.0,268830.0,33119.0,38669.0,2694.0,2864.0,Brooklyn,1,2959,3209,POINT (-73.900571 40.664038),250,-5398.0,5550.0,170.0
Longwood Av,186795.0,196979.0,36304.0,42940.0,2575.0,2806.0,Bronx,1,3494,3395,POINT (-73.896435 40.816104),-99,10184.0,6636.0,231.0
Lorimer St,217798.0,237037.0,63102.0,73620.0,5219.0,5948.0,Brooklyn,2,4796,4837,POINT (-73.947408 40.703869),41,19239.0,10518.0,729.0
Marble Hill - 225 St,183752.0,192917.0,23011.0,25427.0,2511.0,2636.0,Manhattan,1,5456,5433,POINT (-73.909831 40.874561),-23,9165.0,2416.0,125.0
Marcy Av,174796.0,190973.0,48394.0,56090.0,4021.0,4499.0,Brooklyn,3,11775,13315,POINT (-73.957757 40.708359),1540,16177.0,7696.0,478.0
Mets - Willets Point,247441.0,248478.0,53724.0,68266.0,6607.0,7758.0,Queens,1,4675,4606,POINT (-73.845625 40.754622),-69,1037.0,14542.0,1151.0
Middle Village - Metropolitan Av,135201.0,144568.0,18715.0,20940.0,2479.0,2765.0,Queens,1,4092,3225,POINT (-73.889601 40.711396),-867,9367.0,2225.0,286.0
Middletown Rd,51730.0,50348.0,19518.0,20210.0,1220.0,1309.0,Bronx,1,1514,2036,POINT (-73.836322 40.843863),522,-1382.0,692.0,89.0
Montrose Av,230274.0,240283.0,59392.0,73163.0,5018.0,5688.0,Brooklyn,1,6731,6884,POINT (-73.93985 40.707739),153,10009.0,13771.0,670.0
Morgan Av,311595.0,324118.0,64144.0,80378.0,5633.0,6482.0,Brooklyn,1,7126,7510,POINT (-73.933147 40.706152),384,12523.0,16234.0,849.0
Morris Park,299696.0,304706.0,41810.0,75865.0,4043.0,4283.0,Bronx,1,2210,2417,POINT (-73.860495 40.854364),207,5010.0,34055.0,240.0
Morrison Av- Sound View,231619.0,236261.0,19253.0,24083.0,2021.0,2230.0,Bronx,1,6588,6361,POINT (-73.874516 40.829521),-227,4642.0,4830.0,209.0
Mosholu Pkwy,330705.0,353131.0,37151.0,73854.0,4338.0,4526.0,Bronx,1,9588,8195,POINT (-73.884655 40.87975),-1393,22426.0,36703.0,188.0
Mt Eden Av,312729.0,324456.0,29526.0,34653.0,2832.0,3165.0,Bronx,1,5995,5337,POINT (-73.914685 40.844434),-658,11727.0,5127.0,333.0
Myrtle - Willoughby Avs,259631.0,274556.0,40725.0,52480.0,3726.0,4584.0,Brooklyn,1,4916,5736,POINT (-73.949046 40.694568),820,14925.0,11755.0,858.0
Myrtle Av,218324.0,221494.0,32517.0,45311.0,2809.0,3436.0,Brooklyn,3,10876,12122,POINT (-73.935657 40.697207),1246,3170.0,12794.0,627.0
Nassau Av,127457.0,139116.0,47343.0,52464.0,4408.0,4900.0,Brooklyn,1,8435,9312,POINT (-73.951277 40.724635),877,11659.0,5121.0,492.0
Neck Rd,230266.0,243532.0,46541.0,69197.0,6596.0,7411.0,Brooklyn,2,3941,4405,POINT (-73.955161 40.595246),464,13266.0,22656.0,815.0
Neptune Av,274927.0,299570.0,50784.0,72920.0,7044.0,7973.0,Brooklyn,1,1749,1516,POINT (-73.974574 40.581011),-233,24643.0,22136.0,929.0
Nereid Av,184213.0,191643.0,9041.0,40815.0,1984.0,2140.0,Bronx,2,3878,3437,POINT (-73.854376 40.898379),-441,7430.0,31774.0,156.0
Nevins St,188352.0,204834.0,94516.0,102870.0,6375.0,7269.0,Brooklyn,4,11468,10426,POINT (-73.980492 40.688246),-1042,16482.0,8354.0,894.0
New Lots Av,177011.0,168499.0,22030.0,24809.0,1714.0,1854.0,Brooklyn,2,11134,10442,POINT (-73.8916555 40.662484),-692,-8512.0,2779.0,140.0
Newkirk Av,243199.0,242768.0,37398.0,36736.0,3112.0,3378.0,Brooklyn,2,7757,7312,POINT (-73.948411 40.639967),-445,-431.0,-662.0,266.0
Newkirk Plaza,322604.0,330900.0,54928.0,69145.0,6041.0,6579.0,Brooklyn,2,10788,10534,POINT (-73.962793 40.635082),-254,8296.0,14217.0,538.0
Northern Blvd,275891.0,273081.0,108167.0,116028.0,8400.0,8775.0,Queens,2,7235,6904,POINT (-73.906006 40.752885),-331,-2810.0,7861.0,375.0
Norwood - 205 St,260285.0,281771.0,26557.0,61571.0,3255.0,3419.0,Bronx,1,8043,8429,POINT (-73.878855 40.874811),386,21486.0,35014.0,164.0
Norwood Av,284977.0,297349.0,35983.0,40048.0,3722.0,4068.0,Brooklyn,2,3492,3190,POINT (-73.880039 40.68141),-302,12372.0,4065.0,346.0
Nostrand Av,226919.0,236025.0,22496.0,29534.0,3157.0,3882.0,Brooklyn,3,20994,21344,POINT (-73.950446 40.6751425),350,9106.0,7038.0,725.0
Ocean Pkwy,117165.0,124835.0,22638.0,36752.0,3181.0,3651.0,Brooklyn,1,3141,3199,POINT (-73.968501 40.576312),58,7670.0,14114.0,470.0
Ozone Park - Lefferts Blvd,154596.0,157159.0,19042.0,20492.0,1988.0,2265.0,Queens,1,7476,7591,POINT (-73.825798 40.685951),115,2563.0,1450.0,277.0
Park Pl,164860.0,169730.0,16181.0,21705.0,2402.0,2985.0,Brooklyn,1,2077,1725,POINT (-73.957624 40.674772),-352,4870.0,5524.0,583.0
Parkchester,261011.0,264666.0,29351.0,36283.0,2515.0,2722.0,Bronx,1,16614,15660,POINT (-73.860816 40.833226),-954,3655.0,6932.0,207.0
Parkside Av,284160.0,288207.0,34429.0,43040.0,4629.0,5344.0,Brooklyn,2,4240,6050,POINT (-73.961495 40.655292),1810,4047.0,8611.0,715.0
Parsons Blvd,148050.0,157838.0,25716.0,28167.0,2513.0,2695.0,Queens,1,6463,6462,POINT (-73.803326 40.707564),-1,9788.0,2451.0,182.0
Pelham Bay Park,211666.0,211631.0,46365.0,46532.0,2782.0,3020.0,Bronx,1,6772,7001,POINT (-73.828121 40.852462),229,-35.0,167.0,238.0
Pelham Pkwy,299696.0,304706.0,41810.0,75865.0,4043.0,4283.0,Bronx,3,12868,11555,POINT (-73.86148700000001 40.858088499999994),-1313,5010.0,34055.0,240.0
Pennsylvania Av,177011.0,168499.0,22030.0,24809.0,1714.0,1854.0,Brooklyn,1,5675,4331,POINT (-73.894895 40.664635),-1344,-8512.0,2779.0,140.0
President St,226919.0,236025.0,22496.0,29534.0,3157.0,3882.0,Brooklyn,2,3969,4019,POINT (-73.950683 40.667883),50,9106.0,7038.0,725.0
Prince St,337285.0,320930.0,351446.0,373456.0,23193.0,22468.0,Manhattan,2,15261,14408,POINT (-73.997702 40.724329),-853,-16355.0,22010.0,-725.0
Prospect Av,365716.0,380380.0,100440.0,116378.0,7987.0,8607.0,Bronx,2,7424,7038,POINT (-73.90177 40.819585),-386,14664.0,15938.0,620.0
Prospect Av,365716.0,380380.0,100440.0,116378.0,7987.0,8607.0,Brooklyn,1,5934,5523,POINT (-73.992872 40.665414),-411,14664.0,15938.0,620.0
Prospect Park,209402.0,213699.0,21046.0,24942.0,2942.0,3456.0,Brooklyn,2,9761,10059,POINT (-73.962246 40.661614),298,4297.0,3896.0,514.0
Queens Plaza,25537.0,30043.0,64710.0,69128.0,2931.0,3051.0,Queens,3,9696,12747,POINT (-73.937243 40.748973),3051,4506.0,4418.0,120.0
Ralph Av,211979.0,226949.0,15128.0,21214.0,1838.0,2254.0,Brooklyn,1,5381,5768,POINT (-73.920786 40.678822),387,14970.0,6086.0,416.0
Rector St,53645.0,60156.0,200256.0,223157.0,7575.0,7633.0,Manhattan,3,16685,16190,POINT (-74.0135625 40.7073665),-495,6511.0,22901.0,58.0
Rockaway Av,245610.0,245318.0,26091.0,30979.0,2182.0,2417.0,Brooklyn,2,10769,10414,POINT (-73.91044600000001 40.6704445),-355,-292.0,4888.0,235.0
Rockaway Blvd,56954.0,59052.0,11576.0,12066.0,821.0,903.0,Queens,1,8662,7534,POINT (-73.843853 40.680429),-1128,2098.0,490.0,82.0
Rockaway Park - Beach 116 St,21725.0,21354.0,2252.0,2528.0,327.0,348.0,Queens,2,379,696,POINT (-73.835592 40.580903),317,-371.0,276.0,21.0
Roosevelt Island,141160.0,147174.0,280502.0,304529.0,14042.0,13607.0,Manhattan,1,6321,7153,POINT (-73.95326 40.759145),832,6014.0,24027.0,-435.0
Saratoga Av,181737.0,176858.0,20842.0,24224.0,1711.0,1795.0,Brooklyn,1,5807,5246,POINT (-73.916327 40.661453),-561,-4879.0,3382.0,84.0
Seneca Av,236178.0,239862.0,30075.0,40503.0,3483.0,4043.0,Queens,1,2428,1818,POINT (-73.90774 40.702762),-610,3684.0,10428.0,560.0
Sheepshead Bay,230266.0,243532.0,46541.0,69197.0,6596.0,7411.0,Brooklyn,2,14010,13946,POINT (-73.954155 40.586896),-64,13266.0,22656.0,815.0
Shepherd Av,185598.0,190632.0,21658.0,23833.0,1851.0,2008.0,Brooklyn,1,3149,3182,POINT (-73.88075 40.67413),33,5034.0,2175.0,157.0
Simpson St,275777.0,283101.0,34871.0,42984.0,2770.0,3017.0,Bronx,2,9672,8477,POINT (-73.893064 40.824073),-1195,7324.0,8113.0,247.0
Smith - 9 Sts,131852.0,135603.0,47673.0,56223.0,4588.0,4942.0,Brooklyn,2,2854,4689,POINT (-73.995959 40.67358),1835,3751.0,8550.0,354.0
Spring St,274475.0,263005.0,342125.0,363030.0,21973.0,21220.0,Manhattan,3,25393,23876,POINT (-74.00044 40.724264000000005),-1517,-11470.0,20905.0,-753.0
St Lawrence Av,261011.0,264666.0,29351.0,36283.0,2515.0,2722.0,Bronx,1,3995,4040,POINT (-73.867618 40.831509),45,3655.0,6932.0,207.0
Steinway St,246725.0,247886.0,111728.0,119865.0,8153.0,8480.0,Queens,2,14769,15590,POINT (-73.92074 40.756879),821,1161.0,8137.0,327.0
Sterling St,352921.0,357213.0,42365.0,46377.0,4253.0,4925.0,Brooklyn,2,5915,5684,POINT (-73.95085 40.662742),-231,4292.0,4012.0,672.0
Sutphin Blvd,204023.0,215727.0,40944.0,44533.0,3684.0,3970.0,Queens,1,4932,4291,POINT (-73.810708 40.70546),-641,11704.0,3589.0,286.0
Sutphin Blvd - Archer Av - JFK Airport,234071.0,245973.0,40094.0,44307.0,3988.0,4359.0,Queens,3,23012,23388,POINT (-73.807969 40.700486),376,11902.0,4213.0,371.0
Sutter Av,245610.0,245318.0,26091.0,30979.0,2182.0,2417.0,Brooklyn,1,4555,4029,POINT (-73.901975 40.669367),-526,-292.0,4888.0,235.0
Sutter Av - Rutland Rd,294750.0,295092.0,38551.0,41251.0,2807.0,3176.0,Brooklyn,1,7831,6657,POINT (-73.92261 40.664717),-1174,342.0,2700.0,369.0
Tremont Av,225006.0,230238.0,22427.0,25765.0,2202.0,2444.0,Bronx,2,9157,10398,POINT (-73.905227 40.85041),1241,5232.0,3338.0,242.0
Union St,141815.0,149408.0,50012.0,56160.0,4522.0,4920.0,Brooklyn,1,6528,6835,POINT (-73.98311 40.677316),307,7593.0,6148.0,398.0
Utica Av,265762.0,283257.0,19626.0,27926.0,2554.0,3142.0,Brooklyn,2,14673,16121,POINT (-73.930729 40.679364),1448,17495.0,8300.0,588.0
Van Cortlandt Park - 242 St,92450.0,93256.0,19356.0,21591.0,1510.0,1597.0,Bronx,1,6943,7742,POINT (-73.898583 40.889248),799,806.0,2235.0,87.0
Van Siclen Av,185598.0,190632.0,21658.0,23833.0,1851.0,2008.0,Brooklyn,4,9288,8603,POINT (-73.89048033333334 40.67206100000001),-685,5034.0,2175.0,157.0
Vernon Blvd - Jackson Av,63247.0,72516.0,80706.0,87066.0,4570.0,4992.0,Queens,1,12610,15093,POINT (-73.953581 40.742626),2483,9269.0,6360.0,422.0
W 8 St - NY Aquarium,274927.0,299570.0,50784.0,72920.0,7044.0,7973.0,Brooklyn,2,2069,2469,POINT (-73.975939 40.576127),400,24643.0,22136.0,929.0
WTC Cortlandt,79710.0,88865.0,274262.0,308723.0,12976.0,12745.0,Manhattan,1,0,3558,POINT (-74.012188 40.711835),3558,9155.0,34461.0,-231.0
Wakefield - 241 St,85459.0,87911.0,9041.0,11191.0,909.0,1004.0,Bronx,1,4825,4763,POINT (-73.85062 40.903125),-62,2452.0,2150.0,95.0
Wall St,53645.0,60156.0,200256.0,223157.0,7575.0,7633.0,Manhattan,4,51784,43713,POINT (-74.010481 40.707189),-8071,6511.0,22901.0,58.0
West Farms Sq - E Tremont Av,320610.0,327962.0,39379.0,46081.0,3531.0,3845.0,Bronx,2,7979,6866,POINT (-73.880049 40.840295),-1113,7352.0,6702.0,314.0
Westchester Sq - E Tremont Av,173961.0,171309.0,42942.0,47594.0,2801.0,2995.0,Bronx,1,6820,6097,POINT (-73.842952 40.839892),-723,-2652.0,4652.0,194.0
Whitlock Av,244138.0,248388.0,33350.0,39582.0,2688.0,2906.0,Bronx,1,1685,1894,POINT (-73.886283 40.826525),209,4250.0,6232.0,218.0
Wilson Av,328669.0,331834.0,42352.0,54948.0,4466.0,5112.0,Brooklyn,1,3865,4468,POINT (-73.904046 40.688764),603,3165.0,12596.0,646.0
Winthrop St,237079.0,234610.0,31552.0,31836.0,2782.0,3140.0,Brooklyn,2,7639,7262,POINT (-73.9502 40.656652),-377,-2469.0,284.0,358.0
Woodhaven Blvd,247255.0,260709.0,54490.0,69205.0,5722.0,6111.0,Queens,4,26852,25475,POINT (-73.86040249999999 40.7134925),-1377,13454.0,14715.0,389.0
Woodlawn,255846.0,269171.0,20956.0,55071.0,3280.0,3434.0,Bronx,1,7776,6937,POINT (-73.878751 40.886037),-839,13325.0,34115.0,154.0
Woodside - 61 St,175365.0,174384.0,31483.0,34577.0,3982.0,4163.0,Queens,1,16559,16501,POINT (-73.902984 40.74563),-58,-981.0,3094.0,181.0
York St,97670.0,108887.0,69474.0,73721.0,4134.0,4685.0,Brooklyn,1,8629,11032,POINT (-73.986751 40.701397),2403,11217.0,4247.0,551.0
Zerega Av,242859.0,240105.0,46621.0,51552.0,3358.0,3610.0,Bronx,1,3253,2629,POINT (-73.847036 40.836488),-624,-2754.0,4931.0,252.0
