borough,station,route,ridership_2013,ridership_2018,station_geom
Queens,Parsons Blvd,F,6463,6462,POINT(-73.803326 40.707564)
Queens,Queens Plaza,E M R,9696,12747,POINT(-73.937243 40.748973)
Queens,Rockaway Blvd,A,8662,7534,POINT(-73.843853 40.680429)
Queens,Rockaway Park - Beach 116 St,A S,379,696,POINT(-73.835592 40.580903)
Queens,Seneca Av,M,2428,1818,POINT(-73.90774 40.702762)
Queens,Steinway St,M R,14769,15590,POINT(-73.92074 40.756879)
Queens,Sutphin Blvd,F,4932,4291,POINT(-73.810708 40.70546)
Queens,Sutphin Blvd - Archer Av - JFK Airport,E J Z,23012,23388,POINT(-73.807969 40.700486)
Queens,Vernon Blvd - Jackson Av,7,12610,15093,POINT(-73.953581 40.742626)
Queens,Woodhaven Blvd,J Z,4576,4771,POINT(-73.851576 40.693879)
Queens,Woodhaven Blvd,M R,22276,20704,POINT(-73.869229 40.733106)
Queens,Woodside - 61 St,7,16559,16501,POINT(-73.902984 40.74563)
