borough,station,route,ridership_2013,ridership_2018,station_geom
Brooklyn,79 St,D,6293,6177,POINT(-74.00061 40.613501)
Brooklyn,8 Av,N,10873,11474,POINT(-74.011719 40.635064)
Brooklyn,86 St,N,2515,1928,POINT(-73.97823 40.592721)
Brooklyn,86 St,R,11648,11338,POINT(-74.028398 40.622687)
Brooklyn,9 Av,D,5857,5344,POINT(-73.994324 40.646292)
Brooklyn,Atlantic Av,L,1580,1842,POINT(-73.903097 40.675345)
Brooklyn,Avenue I,F,2283,1096,POINT(-73.976127 40.625322)
Brooklyn,Avenue N,F,3411,2087,POINT(-73.974197 40.61514)
Brooklyn,Avenue P,F,2757,1710,POINT(-73.973022 40.608944)
Brooklyn,Avenue U,F,2296,1042,POINT(-73.973357 40.596063)
Brooklyn,Avenue U,N,3738,2627,POINT(-73.979137 40.597473)
Brooklyn,Avenue X,F,2972,2662,POINT(-73.97425 40.58962)
Brooklyn,Bay 50 St,D,2793,2674,POINT(-73.983765 40.588841)
Brooklyn,Bay Pkwy,D,7111,7719,POINT(-73.993728 40.601875)
Brooklyn,Bay Pkwy,F,1575,623,POINT(-73.975264 40.620769)
Brooklyn,Bay Pkwy,N,6990,7261,POINT(-73.981848 40.611815)
Brooklyn,Bay Ridge - 95 St,R,5974,5812,POINT(-74.030876 40.616622)
Brooklyn,Bay Ridge Av,R,8079,7236,POINT(-74.023377 40.634967)
Brooklyn,Bedford - Nostrand Avs,G,7300,8821,POINT(-73.953522 40.689627)
Brooklyn,Bedford Av,L,25755,26603,POINT(-73.956872 40.717304)
Brooklyn,Bergen St,2 3,4070,3653,POINT(-73.975098 40.680829)
Brooklyn,Bergen St,F G,11562,11174,POINT(-73.990862 40.686145)
Brooklyn,Beverly Rd,2 5,4375,4255,POINT(-73.948959 40.645098)
Brooklyn,Brighton Beach,B Q,12185,12065,POINT(-73.961376 40.577621)
Brooklyn,Broadway,G,3368,4467,POINT(-73.950308 40.706092)
Brooklyn,Bushwick Av - Aberdeen St,L,1509,2079,POINT(-73.905249 40.682829)
Brooklyn,Canarsie - Rockaway Pkwy,L,13254,11947,POINT(-73.90185 40.646654)
Brooklyn,Carroll St,F G,12339,11562,POINT(-73.995048 40.680303)
Brooklyn,Central Av,M,1744,2393,POINT(-73.927397 40.697857)
Brooklyn,Chauncey St,J Z,2967,3387,POINT(-73.910456 40.682893)
Brooklyn,Church Av,2 5,9794,9193,POINT(-73.949575 40.650843)
Brooklyn,Church Av,B Q,17638,16528,POINT(-73.962982 40.650527)
Brooklyn,Clark St,2 3,5971,5275,POINT(-73.993086 40.697466)
Brooklyn,Classon Av,G,4490,5301,POINT(-73.96007 40.688873)
Brooklyn,Cleveland St,J,3328,2975,POINT(-73.884639 40.679947)
Brooklyn,Clinton - Washington Avs,C,6642,7068,POINT(-73.965838 40.683263)
Brooklyn,Clinton - Washington Avs,G,5294,5025,POINT(-73.966839 40.688089)
Brooklyn,Coney Island - Stillwell Av,D F N Q,13177,13203,POINT(-73.981233 40.577422)
Brooklyn,Crescent St,J Z,4683,4539,POINT(-73.873785 40.683194)
Brooklyn,Crown Hts - Utica Av,3 4,27780,25336,POINT(-73.932942 40.668897)
