r_table_station_name,routes,ridership_2013,ridership_2018,s_table_station_name,complex_id,borough,station_geom
Mets - Willets Point,7,4675,4606,Mets - Willets Point,448,Queens,POINT(-73.845625 40.754622)
Middle Village - Metropolitan Av,M,4092,3225,Middle Village - Metropolitan Av,108,Queens,POINT(-73.889601 40.711396)
Middletown Rd,6,1514,2036,Middletown Rd,362,Bronx,POINT(-73.836322 40.843863)
Montrose Av,L,6731,6884,Montrose Av,124,Brooklyn,POINT(-73.93985 40.707739)
Morgan Av,L,7126,7510,Morgan Av,125,Brooklyn,POINT(-73.933147 40.706152)
Morris Park,5,2210,2417,Morris Park,446,Bronx,POINT(-73.860495 40.854364)
Morrison Av- Sound View,6,6588,6361,Morrison Av- Sound View,368,Bronx,POINT(-73.874516 40.829521)
Mosholu Pkwy,4,9588,8195,Mosholu Pkwy,379,Bronx,POINT(-73.884655 40.87975)
Mt Eden Av,4,5995,5337,Mt Eden Av,386,Bronx,POINT(-73.914685 40.844434)
Myrtle - Willoughby Avs,G,4916,5736,Myrtle - Willoughby Avs,288,Brooklyn,POINT(-73.949046 40.694568)
Myrtle Av,"J,M,Z",10876,12122,Myrtle Av,97,Brooklyn,POINT(-73.935657 40.697207)
Nassau Av,G,8435,9312,Nassau Av,284,Brooklyn,POINT(-73.951277 40.724635)
Neck Rd,"B,Q",3941,4405,Neck Rd,53,Brooklyn,POINT(-73.955161 40.595246)
Neptune Av,F,1749,1516,Neptune Av,253,Brooklyn,POINT(-73.974574 40.581011)
Nereid Av,"2,5",3878,3437,Nereid Av,417,Bronx,POINT(-73.854376 40.898379)
Nevins St,"2,3,4,5",11468,10426,Nevins St,337,Brooklyn,POINT(-73.980492 40.688246)
New Lots Av,3,6349,5573,New Lots Av,352,Brooklyn,POINT(-73.884079 40.666235)
New Lots Av,L,4785,4869,New Lots Av,136,Brooklyn,POINT(-73.899232 40.658733)
Newkirk Av,"2,5",7757,7312,Newkirk Av,358,Brooklyn,POINT(-73.948411 40.639967)
Newkirk Plaza,"B,Q",10788,10534,Newkirk Plaza,47,Brooklyn,POINT(-73.962793 40.635082)
Northern Blvd,"M,R",7235,6904,Northern Blvd,269,Queens,POINT(-73.906006 40.752885)
Norwood - 205 St,D,8043,8429,Norwood - 205 St,210,Bronx,POINT(-73.878855 40.874811)
Norwood Av,"J,Z",3492,3190,Norwood Av,88,Brooklyn,POINT(-73.880039 40.68141)
Nostrand Av,3,4151,3907,Nostrand Av,343,Brooklyn,POINT(-73.950466 40.669847)
Nostrand Av,"A,C",16843,17437,Nostrand Av,179,Brooklyn,POINT(-73.950426 40.680438)
Ocean Pkwy,Q,3141,3199,Ocean Pkwy,56,Brooklyn,POINT(-73.968501 40.576312)
Ozone Park - Lefferts Blvd,A,7476,7591,Ozone Park - Lefferts Blvd,195,Queens,POINT(-73.825798 40.685951)
Park Pl,S,2077,1725,Park Pl,141,Brooklyn,POINT(-73.957624 40.674772)
Parkchester,6,16614,15660,Parkchester,366,Bronx,POINT(-73.860816 40.833226)
Parkside Av,"B,Q",4240,6050,Parkside Av,43,Brooklyn,POINT(-73.961495 40.655292)
Parsons Blvd,F,6463,6462,Parsons Blvd,256,Queens,POINT(-73.803326 40.707564)
Pelham Bay Park,6,6772,7001,Pelham Bay Park,360,Bronx,POINT(-73.828121 40.852462)
Pelham Pkwy,5,3254,3083,Pelham Pkwy,445,Bronx,POINT(-73.855359 40.858985)
Pelham Pkwy,"2,5",9614,8472,Pelham Pkwy,424,Bronx,POINT(-73.867615 40.857192)
Pennsylvania Av,3,5675,4331,Pennsylvania Av,350,Brooklyn,POINT(-73.894895 40.664635)
President St,"2,5",3969,4019,President St,353,Brooklyn,POINT(-73.950683 40.667883)
Prince St,"R,W",15261,14408,Prince St,17,Manhattan,POINT(-73.997702 40.724329)
Prospect Av,R,5934,5523,Prospect Av,30,Brooklyn,POINT(-73.992872 40.665414)
Prospect Av,"2,5",7424,7038,Prospect Av,432,Bronx,POINT(-73.90177 40.819585)
Prospect Park,"B,Q",9761,10059,Prospect Park,42,Brooklyn,POINT(-73.962246 40.661614)
Queens Plaza,"E,M,R",9696,12747,Queens Plaza,273,Queens,POINT(-73.937243 40.748973)
Ralph Av,C,5381,5768,Ralph Av,182,Brooklyn,POINT(-73.920786 40.678822)
Rector St,1,11323,9005,Rector St,329,Manhattan,POINT(-74.013783 40.707513)
Rector St,"R,W",5362,7185,Rector St,22,Manhattan,POINT(-74.013342 40.70722)
Rockaway Av,3,5632,4747,Rockaway Av,348,Brooklyn,POINT(-73.908946 40.662549)
Rockaway Av,C,5137,5667,Rockaway Av,183,Brooklyn,POINT(-73.911946 40.67834)
Rockaway Blvd,A,8662,7534,Rockaway Blvd,192,Queens,POINT(-73.843853 40.680429)
Rockaway Park - Beach 116 St,"A,S",379,696,Rockaway Park - Beach 116 St,203,Queens,POINT(-73.835592 40.580903)
Roosevelt Island,F,6321,7153,Roosevelt Island,222,Manhattan,POINT(-73.95326 40.759145)
Saratoga Av,3,5807,5246,Saratoga Av,347,Brooklyn,POINT(-73.916327 40.661453)
Seneca Av,M,2428,1818,Seneca Av,111,Queens,POINT(-73.90774 40.702762)
Sheepshead Bay,"B,Q",14010,13946,Sheepshead Bay,54,Brooklyn,POINT(-73.954155 40.586896)
Shepherd Av,C,3149,3182,Shepherd Av,187,Brooklyn,POINT(-73.88075 40.67413)
Simpson St,"2,5",9672,8477,Simpson St,430,Bronx,POINT(-73.893064 40.824073)
Smith - 9 Sts,"F,G",2854,4689,Smith - 9 Sts,238,Brooklyn,POINT(-73.995959 40.67358)
Spring St,6,12257,10822,Spring St,409,Manhattan,POINT(-73.997141 40.722301)
Spring St,"C,E",13136,13054,Spring St,168,Manhattan,POINT(-74.003739 40.726227)
St Lawrence Av,6,3995,4040,St Lawrence Av,367,Bronx,POINT(-73.867618 40.831509)
Steinway St,"M,R",14769,15590,Steinway St,271,Queens,POINT(-73.92074 40.756879)
Sterling St,"2,5",5915,5684,Sterling St,354,Brooklyn,POINT(-73.95085 40.662742)
Sutphin Blvd,F,4932,4291,Sutphin Blvd,257,Queens,POINT(-73.810708 40.70546)
Sutphin Blvd - Archer Av - JFK Airport,"E,J,Z",23012,23388,Sutphin Blvd - Archer Av - JFK Airport,279,Queens,POINT(-73.807969 40.700486)
Sutter Av,L,4555,4029,Sutter Av,134,Brooklyn,POINT(-73.901975 40.669367)
Sutter Av - Rutland Rd,3,7831,6657,Sutter Av - Rutland Rd,346,Brooklyn,POINT(-73.92261 40.664717)
Tremont Av,"B,D",9157,10398,Tremont Av,215,Bronx,POINT(-73.905227 40.85041)
Union St,R,6528,6835,Union St,28,Brooklyn,POINT(-73.98311 40.677316)
Utica Av,"A,C",14673,16121,Utica Av,181,Brooklyn,POINT(-73.930729 40.679364)
Van Cortlandt Park - 242 St,1,6943,7742,Van Cortlandt Park - 242 St,293,Bronx,POINT(-73.898583 40.889248)
Van Siclen Av,3,3431,2904,Van Siclen Av,351,Brooklyn,POINT(-73.889395 40.665449)
Van Siclen Av,C,2974,3021,Van Siclen Av,186,Brooklyn,POINT(-73.890358 40.67271)
Van Siclen Av,"J,Z",2883,2678,Van Siclen Av,90,Brooklyn,POINT(-73.891688 40.678024)
Vernon Blvd - Jackson Av,7,12610,15093,Vernon Blvd - Jackson Av,464,Queens,POINT(-73.953581 40.742626)
W 8 St - NY Aquarium,"F,Q",2069,2469,W 8 St - NY Aquarium,57,Brooklyn,POINT(-73.975939 40.576127)
WTC Cortlandt,1,0,3558,WTC Cortlandt,328,Manhattan,POINT(-74.012188 40.711835)
Wakefield - 241 St,2,4825,4763,Wakefield - 241 St,416,Bronx,POINT(-73.85062 40.903125)
Wall St,"2,3",26706,23968,Wall St,333,Manhattan,POINT(-74.0091 40.706821)
Wall St,"4,5",25078,19745,Wall St,413,Manhattan,POINT(-74.011862 40.707557)
West Farms Sq - E Tremont Av,"2,5",7979,6866,West Farms Sq - E Tremont Av,427,Bronx,POINT(-73.880049 40.840295)
Westchester Sq - E Tremont Av,6,6820,6097,Westchester Sq - E Tremont Av,363,Bronx,POINT(-73.842952 40.839892)
Whitlock Av,6,1685,1894,Whitlock Av,370,Bronx,POINT(-73.886283 40.826525)
Wilson Av,L,3865,4468,Wilson Av,130,Brooklyn,POINT(-73.904046 40.688764)
Winthrop St,"2,5",7639,7262,Winthrop St,355,Brooklyn,POINT(-73.9502 40.656652)
Woodhaven Blvd,"J,Z",4576,4771,Woodhaven Blvd,83,Queens,POINT(-73.851576 40.693879)
Woodhaven Blvd,"M,R",22276,20704,Woodhaven Blvd,264,Queens,POINT(-73.869229 40.733106)
Woodlawn,4,7776,6937,Woodlawn,378,Bronx,POINT(-73.878751 40.886037)
Woodside - 61 St,7,16559,16501,Woodside - 61 St,456,Queens,POINT(-73.902984 40.74563)
York St,F,8629,11032,York St,235,Brooklyn,POINT(-73.986751 40.701397)
Zerega Av,6,3253,2629,Zerega Av,364,Bronx,POINT(-73.847036 40.836488)
