r_table_station_name,routes,ridership_2013,ridership_2018,s_table_station_name,complex_id,borough,station_geom
3 Av - 138 St,6,7667,7801,3 Av - 138 St,377,Bronx,POINT(-73.926138 40.810476)
3 Av - 149 St,"2,5",24001,22357,3 Av - 149 St,434,Bronx,POINT(-73.917757 40.816109)
30 Av,"N,W",14802,8286,30 Av,3,Queens,POINT(-73.921479 40.766779)
33 St,6,32783,32608,33 St,403,Manhattan,POINT(-73.982076 40.746081)
33 St,7,14246,11029,33 St,460,Queens,POINT(-73.930997 40.744587)
34 St - Penn Station,"1,2,3",90042,85180,34 St - Penn Station,318,Manhattan,POINT(-73.991057 40.750373)
34 St - Penn Station,"A,C,E",83717,80346,34 St - Penn Station,164,Manhattan,POINT(-73.993391 40.752287)
36 Av,"N,W",7688,5073,36 Av,5,Queens,POINT(-73.929575 40.756804)
36 St,"D,N,R",12059,13493,36 St,32,Brooklyn,POINT(-74.003549 40.655144)
36 St,"M,R",4540,5177,36 St,272,Queens,POINT(-73.928781 40.752039)
39 Av,"N,W",3262,2356,39 Av,6,Queens,POINT(-73.932755 40.752882)
40 St,7,11100,9954,40 St,459,Queens,POINT(-73.924016 40.743781)
45 St,R,6978,7205,45 St,33,Brooklyn,POINT(-74.010006 40.648939)
46 St,7,14656,12828,46 St,458,Queens,POINT(-73.918435 40.743132)
46 St,"M,R",9529,8752,46 St,270,Queens,POINT(-73.913333 40.756312)
47-50 Sts - Rockefeller Ctr,"B,D,F,M",61099,61027,47-50 Sts - Rockefeller Ctr,225,Manhattan,POINT(-73.981329 40.758663)
49 St,"N,R,W",25356,25911,49 St,10,Manhattan,POINT(-73.984139 40.759901)
5 Av/53 St,"E,M",25939,27612,5 Av/53 St,276,Manhattan,POINT(-73.975224 40.760167)
5 Av/59 St,"N,W,R",18394,16638,5 Av/59 St,8,Manhattan,POINT(-73.973347 40.764811)
50 St,1,26192,26268,50 St,316,Manhattan,POINT(-73.983849 40.761728)
50 St,D,3308,3195,50 St,61,Brooklyn,POINT(-73.994791 40.63626)
50 St,"C,E",19406,19757,50 St,162,Manhattan,POINT(-73.985984 40.762456)
52 St,7,6830,6001,52 St,457,Queens,POINT(-73.912549 40.744149)
53 St,R,7479,7565,53 St,34,Brooklyn,POINT(-74.014034 40.645069)
55 St,D,1964,2185,55 St,62,Brooklyn,POINT(-73.995476 40.631435)
57 St,F,15363,7638,57 St,224,Manhattan,POINT(-73.97745 40.763972)
57 St - 7 Av,"N,Q,R,W",28159,37870,57 St - 7 Av,9,Manhattan,POINT(-73.980658 40.764664)
59 St,"N,R",12506,12301,59 St,35,Brooklyn,POINT(-74.017881 40.641362)
63 Dr - Rego Park,"M,R",16334,15574,63 Dr - Rego Park,263,Queens,POINT(-73.861604 40.729846)
65 St,"M,R",3532,3601,65 St,268,Queens,POINT(-73.898453 40.749669)
66 St - Lincoln Center,1,23651,22890,66 St - Lincoln Center,314,Manhattan,POINT(-73.982209 40.77344)
67 Av,"M,R",9475,8774,67 Av,262,Queens,POINT(-73.852719 40.726523)
68 St - Hunter College,6,36562,22757,68 St - Hunter College,399,Manhattan,POINT(-73.96387 40.768141)
69 St,7,5085,4679,69 St,455,Queens,POINT(-73.896403 40.746325)
7 Av,"B,D,E",15800,17947,7 Av,277,Manhattan,POINT(-73.981637 40.762862)
7 Av,"B,Q",9389,10210,7 Av,41,Brooklyn,POINT(-73.972367 40.67705)
7 Av,"F,G",12268,11636,7 Av,240,Brooklyn,POINT(-73.980305 40.666271)
71 St,D,4538,5607,71 St,64,Brooklyn,POINT(-73.998864 40.619589)
72 St,Q,,30253,72 St,477,Manhattan,POINT(-73.958424 40.768799)
72 St,"B,C",9067,4472,72 St,160,Manhattan,POINT(-73.97641 40.775594)
72 St,"1,2,3",40853,39477,72 St,313,Manhattan,POINT(-73.98197 40.778453)
75 Av,"E,F",3763,3455,75 Av,260,Queens,POINT(-73.837324 40.718331)
75 St,"J,Z",3759,3464,75 St,85,Queens,POINT(-73.867139 40.691324)
77 St,6,37182,25369,77 St,398,Manhattan,POINT(-73.959874 40.77362)
77 St,R,5353,5612,77 St,37,Brooklyn,POINT(-74.02551 40.629742)
79 St,1,16576,15175,79 St,312,Manhattan,POINT(-73.979917 40.783934)
79 St,D,6293,6177,79 St,65,Brooklyn,POINT(-74.00061 40.613501)
8 Av,N,10873,11474,8 Av,71,Brooklyn,POINT(-74.011719 40.635064)
8 St - NYU,"R,W",16597,17192,8 St - NYU,16,Manhattan,POINT(-73.992629 40.730328)
80 St,A,4291,4316,80 St,190,Queens,POINT(-73.858992 40.679371)
81 St - Museum of Natural History,"B,C",13663,15383,81 St - Museum of Natural History,159,Manhattan,POINT(-73.972143 40.781433)
82 St - Jackson Hts,7,15662,14626,82 St - Jackson Hts,453,Queens,POINT(-73.883697 40.747659)
85 St - Forest Pkwy,J,3792,3699,85 St - Forest Pkwy,84,Queens,POINT(-73.86001 40.692435)
